Job_Name,Company_Name,Location,Salary,Description,Skills
Node JS Lead,growel softech,"Pune, Maharashtra",520000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
MERN Stack Developer,growel softech,"Pune, Maharashtra",500000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,nan,470000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",580000,Considering the current scenario of pandemic- This position is applicable for only those candidates who are who are flexible for both- to work from home as well…,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,nan,450000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,Cliffex,"Pune, Maharashtra",400000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",590000,Considering the current scenario of pandemic- This position is applicable for only those candidates who are who are flexible for both- to work from home as well…,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Surat, Gujarat",410000,"We are looking for bright React, MERN stack developers to work in an energetic web app development environment.Advanced working experience with ReactJs.","MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",550000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",550000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,nan,550000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Full-stack MERN Developer,growel softech,"Pune, Maharashtra",540000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",560000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",590000,"Occasionally working as a software developer if the situation demands.Delivering training sessions and providing technical guidance to the developers, deep…","MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",400000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",590000,"Experience in React JS, developer tools such as Chrome Developer Tools, modern frameworks like Flexbox & Sass.Intermediate Level HTML5, CSS3, JavaScript.","MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Indore, Madhya Pradesh",530000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",440000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",420000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Vijayanagar, Bengaluru, Karnataka",520000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
MERN Stack Developer,growel softech,"Pune, Maharashtra",510000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",480000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",560000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Awesome Express JS/ Node JS/ Laravel Developer,growel softech,"Pune, Maharashtra",400000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",590000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",420000,We are looking for a completely hands-on Full-stack developer who has great knowledge and understanding of the various technologies involved in making the…,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",430000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",420000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",400000,"Experience: 1-3 yrs (Relevant 1 yr).Skills : React.js, Redux, Node.js, javascript, jquery, mongoDB, Express.js, Loopback.js, GitLab, GitHub, Bitbucket, ESLint,…","MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",410000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",500000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",580000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",490000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",520000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
MERN Stack Developer,growel softech,"Pune, Maharashtra",510000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",410000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",410000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",460000,Job Summary - Node JS Lead Basic Details Skills : Node JS Account /West/Infovision Location /West/Pune Role /Software Developer Job Title Node JS Lead…,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",550000,"We are looking for bright React, MERN stack developers to work in an energetic web app development environment.Advanced working experience with ReactJs.","MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
NodeJS Developer,growel softech,"Pune, Maharashtra",440000,"We are looking for bright React, MERN stack developers to work in an energetic web app development environment.Advanced working experience with ReactJs.","MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Panchkula, Haryana",570000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Awesome Express JS/ Node JS/ Laravel Developer,growel softech,"Pune, Maharashtra",500000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",410000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",590000,"Node JS, MEAN or MERN stack.Prodigy is a 16 year young IT and software services company head quartered in Hyderabad, India and has remote office on Delaware,…","MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",440000,"Implement full-stack projects with CI/CD pipeline.Full stack application development: 1 year (Preferred).Proficient in Technology stacks – MEAN, MERN, Django.","MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Tech Lead,growel softech,"Pune, Maharashtra",590000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",590000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,Webhopers Infotech Private Limited,"Pune, Maharashtra",520000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,Chapter247,"Pune, Maharashtra",480000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",520000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",520000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,Simform,nan,570000,Job Summary - Node JS Lead Basic Details Skills : Node JS Account /West/Infovision Location /West/Pune Role /Software Developer Job Title Node JS Lead…,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",560000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Awesome Express JS/ Node JS/ Laravel Developer,growel softech,"Pune, Maharashtra",450000,"We are looking for bright React, MERN stack developers to work in an energetic web app development environment.Advanced working experience with ReactJs.","MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",540000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",420000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",400000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Panchkula, Haryana",480000,"Node JS, MEAN or MERN stack.Prodigy is a 16 year young IT and software services company head quartered in Hyderabad, India and has remote office on Delaware,…","MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,Cliffex,"Pune, Maharashtra",530000,Urgent requirement for Fullstack backend frontend development expertise.ANGULAR Developer and Nodejs Developer (MERN STACK DEVELOPER)*.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,Gito.me,"Pune, Maharashtra",550000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",470000,We are looking for a completely hands-on Full-stack developer who has great knowledge and understanding of the various technologies involved in making the…,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",480000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",440000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Pune, Maharashtra",490000,"Node JS, MEAN or MERN stack.Prodigy is a 16 year young IT and software services company head quartered in Hyderabad, India and has remote office on Delaware,…","MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,growel softech,"Bengaluru, Karnataka",410000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
ReactJS Developer (MERN),growel softech,"Pune, Maharashtra",570000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
Node JS Lead,Chapter247,"Pune, Maharashtra",430000,Job Summary - Node JS Lead.Job Title Node JS Lead.Experience Required (yrs) 6 - 9 years.Requested time : immediate & 15 days.,"MongoDB,Express JS,React, NodeJS,HTML5,CSS3,JavaScript,GitHub,Git,Python,Java,Ruby,Web architecture,HTTP and REST,Database storage,relational data,Knowledge of NoSQL databases,Knowledge of web storage,Basic design skills,NPM,Soft skills"
